NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
320-1197-000,SHIELDING_CLIP_044X008,CLIP SMD 4.4X0.75X0.8MM FOR 0.15-0.20MM THICK SHIELD CASE,0.045,S1001-46R,Harwin,P8E0-B-2,56,CCM,SHIELDING_CLIP,0.045
080-1445-000,CON_BATTERY_003_SMD_RA_M_P025,Interconnect (SMD) 3PIN 2.5PITCH BATTERY CON,0.35,200010-3,Top-Link,P8E1-6c-A-2,35,UNRESTRICTED,SMD4,CON_BATTERY_003_SMD_RA_M_P025
130-0853-000,0201,IND 0201 [ ] 5.1nH 3.0% 0.37A 0.35ohm 21 500.0MHz 6.0GHz -999.0decibel,0,HKQ0603W5N1H-T,Taiyo Yuden,P8E0-A-2,999,CCM,0201,-55.15degC..125.05degC
130-0050-000,IND_SMD_0805,IND SMD 0805 4.7uH 5% 0.70 OHM dcR MAX 30mA MAX,0.076,MLF2012A4R7JT,TDK,P7,71,CCM,0805,-55degC..125degC
102-0015-000,IND_NONRKO_SMD_012X010,FILTER COMMON MODE SMD 1210 12OHM @ 100MHz 100mA 0.7OHM dcR MAX,[ ],TCM1210U-120-2P-T,TDK,P7,45,CCM,SMDA_012X010,[ ]..[ ]
130-0409-000,IND_SMD_0402,IND 0402 MULTILAYER 12.0nH 5% 300mA MAX 0.4 OHM dcR MAX,0.00179,HK100512NJ-T,Taiyo Yuden,P8E0-A-2,63,CCM,0402,-55degC..125degC
080-1103-000,CON_MISC_021_SMD_RA_F_P005,CONN SMD FFC COAXIAL FEMALE RA 21 POS 0.5mm PITCH,0.5651,FX16-21S-0.5SH~VERA,Hirose,P8E10,49,PACHINKO,FX16-21S-05SH,CON_MISC_021_SMD_RA_F_P005
042-0025-000,CAP_SMD_083X083,CAP PACHINKO OSCON 82uF 16V 20% 2.12A 40mOHM 8 X 6.9MM,0.2491,16SVP82M~VERJ,Panasonic (Sanyo),P7,111,PACHINKO,SMD_D80,-55degC..105degC
095-0391-000,N/A_MICRO,"FANSINK ASSY, GM206, SUNFLOWER, 2BB, 4 WIRES",4.84,DCV-01648-N1-HF,Cooler Master,P8E0-A-3,35,CCM,4PIN,Cooler Master
080-0528-000,CON_MISC_004_SMD_RA_M_P008_WTB,CONN SMD WTB MALE RA 4 POS 0.8mm PITCH,0.075,50208-00401-001,Aces Electronic,P8E0-A-2,56,CCM,MNT2,N/A
130-0938-000,IND_NONRKO_SMD_040X040_H,IND SMD_4X4 IRON CORE 2.2uH 20.0% 4.3A 48.0mohm 0 0.0KHz 0.0MHz 0.0decibel,0.05,MNRV-4020-2R2M-E-RT,Mag Layers,P8E0-A-2,35,CCM,SMD_4X4,-40.15degC..125.05degC
093-0014-000,0603,THMS 1608 NTC 100kohm 3% B4550 3%,0.01445,NTCG164LH104HT,TDK,P8E8,63,CCM,0603,-40degC..125degC
195-1027-000,0603,RES SCD 0603 60.4 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
080-1238-000,CON_FINGER_ACF_165,Connector (Edge) ACF165_NOPHY,N/A,[ ],[ ],Compliance Unknown,60,NON_PHYSICAL,NONPHY,CON_FINGER_ACF_165
195-0351-000,0402,RES SCD 0402 523K 1% 1/16W,0.0006,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0436-000,0402,RES SCD 0402 787K 1% 1/16W,0.0003,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-2029-000,0201,RES SCD 0201 1.3M 5% 1/20W,0.00068,Multi(7),Multi(7),P8E1-7cI-A-2,49,SCD,0201,-55degC..125degC
